Дата;Курс Евро
06.05.2022;1,03601
09.05.2022;1,04856
10.05.2022;1,075
11.05.2022;1,07599
12.05.2022;1,06911
13.05.2022;1,02713
16.05.2022;1,05524
17.05.2022;1,04818
18.05.2022;1,05846
19.05.2022;1,04499
20.05.2022;1,06087
23.05.2022;1,04063
24.05.2022;1,09991
25.05.2022;1,06476
26.05.2022;1,08289
27.05.2022;1,05481
30.05.2022;1,0794
31.05.2022;1,06251
01.06.2022;1,06204
02.06.2022;1,05939
03.06.2022;1,08198
06.06.2022;1,08842
07.06.2022;1,06863
08.06.2022;1,09102
09.06.2022;1,06264
10.06.2022;1,06881
13.06.2022;1,04225
14.06.2022;1,03616
15.06.2022;1,03225
16.06.2022;1,02085
17.06.2022;1,0535
20.06.2022;1,02811
21.06.2022;1,04759
22.06.2022;1,0685
23.06.2022;1,05187
24.06.2022;1,05576
27.06.2022;1,05466
28.06.2022;1,04198
29.06.2022;1,06878
30.06.2022;1,03689
01.07.2022;1,06553
05.07.2022;1,03141
06.07.2022;1,01438
07.07.2022;1,01624
08.07.2022;0,98786
11.07.2022;0,99567
12.07.2022;1,01266
13.07.2022;0,99441
14.07.2022;0,98704
15.07.2022;1,02042
18.07.2022;1,00667
19.07.2022;1,01726
20.07.2022;1,01622
21.07.2022;1,01848
22.07.2022;1,00609
25.07.2022;1,02482
26.07.2022;0,99191
27.07.2022;1,03841
28.07.2022;1,0195
29.07.2022;1,04535
01.08.2022;1,04313
02.08.2022;1,00776
03.08.2022;1,03547
04.08.2022;1,02622
05.08.2022;1,02485
08.08.2022;1,01215
09.08.2022;1,0486
10.08.2022;1,01388
11.08.2022;1,02701
12.08.2022;1,04091
15.08.2022;1,00167
16.08.2022;1,00055
17.08.2022;0,99864
18.08.2022;1,01825
19.08.2022;1,00451
22.08.2022;0,9975
23.08.2022;1,0179
24.08.2022;0,99861
25.08.2022;0,9906
26.08.2022;0,98018
29.08.2022;1,01268
30.08.2022;1,0088
31.08.2022;0,99744
01.09.2022;0,99014
02.09.2022;1,01306
05.09.2022;0,9684
06.09.2022;0,98887
07.09.2022;0,97785
08.09.2022;0,99829
09.09.2022;1,00421
12.09.2022;0,99613
13.09.2022;1,00124
14.09.2022;1,00141
15.09.2022;0,99753
16.09.2022;0,9826
19.09.2022;1,00403
20.09.2022;1,00865
21.09.2022;0,97693
22.09.2022;0,99048
23.09.2022;0,97504
26.09.2022;0,96839
27.09.2022;0,95897
28.09.2022;0,95626
29.09.2022;0,96769
30.09.2022;1,00491
03.10.2022;0,9622
04.10.2022;0,9987
05.10.2022;0,97978
06.10.2022;0,98498
07.10.2022;1,0028
10.10.2022;0,9674
11.10.2022;0,99025
12.10.2022;0,97563
13.10.2022;0,97374
14.10.2022;0,96509
17.10.2022;0,95689
18.10.2022;0,96236
19.10.2022;0,99049
20.10.2022;0,95803
21.10.2022;0,97002
24.10.2022;0,99599
25.10.2022;0,98425
26.10.2022;0,96974
27.10.2022;1,00794
28.10.2022;1,01854
31.10.2022;0,96644
01.11.2022;0,97771
02.11.2022;0,99154
03.11.2022;0,97067
04.11.2022;0,97814
07.11.2022;0,99508
08.11.2022;1,01806
09.11.2022;1,00414
10.11.2022;1,0235
14.11.2022;1,04453
15.11.2022;1,02404
16.11.2022;1,05741
17.11.2022;1,03146
18.11.2022;1,0533
21.11.2022;1,00403
22.11.2022;1,04224
23.11.2022;1,03266
24.11.2022;1,05534
28.11.2022;1,04662
29.11.2022;1,0379
30.11.2022;1,06283
01.12.2022;1,04112
02.12.2022;1,07426
05.12.2022;1,08121
06.12.2022;1,07495
07.12.2022;1,03876
08.12.2022;1,04409
09.12.2022;1,02703
12.12.2022;1,06781
13.12.2022;1,05123
14.12.2022;1,03218
15.12.2022;1,04253
16.12.2022;1,08119
19.12.2022;1,06927
20.12.2022;1,07916
21.12.2022;1,04825
22.12.2022;1,0483
23.12.2022;1,07862
26.12.2022;1,07145
27.12.2022;1,07991
28.12.2022;1,04771
29.12.2022;1,06981
30.12.2022;1,06594
